leaf_idx,type,ne,classification,first_referencing_node,reasoning
0,f16,5120x248320x1x1,weight:token_embd.weight,n0,f16 5120x248320 read by the embedding GET_ROWS (n0)
1,i32,1x1x1x1,input_tokens,n0,i32[1] row index of the embedding GET_ROWS (n0)
2,f32,5120x1x1x1,other:embd_trunk_input,n1,f32[5120] copy of the embedding GET_ROWS output (n0) re-entering across a scheduler split; the residual trunk root
3,f32,5120x1x1x1,weight:blk.0.attn_norm.weight,n2,f32[5120] MUL paired with pre-mixer RMS_NORM
4,f32,30720x1x1x1,state:conv_state(blk.0),n3,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
5,i32,1x1x1x1,other:rs_copy_indices_buf,n6,"i32 buffer viewed by n6 (main,1 elem) and n8 (clear,0 elems at +4B); outputs unreferenced, presumed source of l6/l7 across splits"
6,i32,1x1x1x1,other:rs_main_index,n7,"i32[1] row id selecting the sequence's conv/ssm state (GET_ROWS src1, all 48 DN blocks)"
7,i32,0x1x1x1,other:rs_clear_index,n9,i32[0] empty clear-row list; makes the paired GET_ROWS/CPY no-ops at decode
8,q4_0,5120x10240x1x1,weight:blk.0.attn_qkv.weight,n13,unique q4_0 5120x10240 in block
9,f32,786432x1x1x1,state:ssm_state(blk.0),n20,f32[786432]=128x128x48 GDN recurrent state
10,f32,4x10240x1x1,weight:blk.0.ssm_conv1d.weight,n27,f32 4x10240 SSM_CONV kernel
11,f16,5120x48x1x1,weight:blk.0.ssm_alpha.weight,n34,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
12,f32,48x1x1x1,weight:blk.0.ssm_dt.bias,n36,f32[48] ADD operand on the alpha path
13,f32,48x1x1x1,weight:blk.0.ssm_a,n38,f32[48] MUL operand after softplus (-exp(A_log) factor)
14,f16,5120x48x1x1,weight:blk.0.ssm_beta.weight,n40,f16 5120x48 GEMV feeding sigmoid (mixing path)
15,f32,128x1x1x1,weight:blk.0.ssm_norm.weight,n51,f32[128] MUL after the per-head RMS_NORM of the GDN output
16,q4_0,5120x6144x1x1,weight:blk.0.attn_gate.weight,n52,unique q4_0 5120x6144 in block (z-gate GEMV)
17,q4_0_ar16,6144x5120x1x1,weight:blk.0.ssm_out.weight,n57,unique Q4_0_AR16 6144x5120 in block
18,f32,5120x1x1x1,weight:blk.0.post_attention_norm.weight,n61,f32[5120] MUL paired with pre-FFN RMS_NORM
19,q4_0,5120x17408x1x1,weight:blk.0.ffn_gate.weight,n62,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
20,q4_0,5120x17408x1x1,weight:blk.0.ffn_up.weight,n63,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
21,q4_0,17408x5120x1x1,weight:blk.0.ffn_down.weight,n65,unique q4_0 17408x5120 in block
22,f32,5120x1x1x1,weight:blk.1.attn_norm.weight,n68,f32[5120] MUL paired with pre-mixer RMS_NORM
23,f32,30720x1x1x1,state:conv_state(blk.1),n69,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
24,q4_0,5120x10240x1x1,weight:blk.1.attn_qkv.weight,n77,unique q4_0 5120x10240 in block
25,f32,786432x1x1x1,state:ssm_state(blk.1),n84,f32[786432]=128x128x48 GDN recurrent state
26,f32,4x10240x1x1,weight:blk.1.ssm_conv1d.weight,n91,f32 4x10240 SSM_CONV kernel
27,f16,5120x48x1x1,weight:blk.1.ssm_alpha.weight,n98,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
28,f32,48x1x1x1,weight:blk.1.ssm_dt.bias,n100,f32[48] ADD operand on the alpha path
29,f32,48x1x1x1,weight:blk.1.ssm_a,n102,f32[48] MUL operand after softplus (-exp(A_log) factor)
30,f16,5120x48x1x1,weight:blk.1.ssm_beta.weight,n104,f16 5120x48 GEMV feeding sigmoid (mixing path)
31,f32,128x1x1x1,weight:blk.1.ssm_norm.weight,n115,f32[128] MUL after the per-head RMS_NORM of the GDN output
32,q4_0,5120x6144x1x1,weight:blk.1.attn_gate.weight,n116,unique q4_0 5120x6144 in block (z-gate GEMV)
33,q4_0_ar16,6144x5120x1x1,weight:blk.1.ssm_out.weight,n121,unique Q4_0_AR16 6144x5120 in block
34,f32,5120x1x1x1,weight:blk.1.post_attention_norm.weight,n125,f32[5120] MUL paired with pre-FFN RMS_NORM
35,q4_0,5120x17408x1x1,weight:blk.1.ffn_gate.weight,n126,"q4_0 5120x17408; its GEMV is GLU src0 (src0=gate, src1=up)"
36,q4_0,5120x17408x1x1,weight:blk.1.ffn_up.weight,n127,"q4_0 5120x17408; its GEMV is GLU src1 (src0=gate, src1=up)"
37,q4_0,17408x5120x1x1,weight:blk.1.ffn_down.weight,n129,unique q4_0 17408x5120 in block
38,f32,5120x1x1x1,weight:blk.2.attn_norm.weight,n132,f32[5120] MUL paired with pre-mixer RMS_NORM
39,f32,30720x1x1x1,state:conv_state(blk.2),n133,f32[30720]=10240x3 rolling conv window (d_conv-1 tokens x conv channels)
40,q4_0,5120x10240x1x1,weight:blk.2.attn_qkv.weight,n141,unique q4_0 5120x10240 in block
41,f32,786432x1x1x1,state:ssm_state(blk.2),n148,f32[786432]=128x128x48 GDN recurrent state
42,f32,4x10240x1x1,weight:blk.2.ssm_conv1d.weight,n155,f32 4x10240 SSM_CONV kernel
43,f16,5120x48x1x1,weight:blk.2.ssm_alpha.weight,n162,f16 5120x48 GEMV feeding ADD(ssm_dt.bias)->softplus->MUL(ssm_a) (decay path)
44,f32,48x1x1x1,weight:blk.2.ssm_dt.bias,n164,f32[48] ADD operand on the alpha path
