node_idx,op,type,ne,decoded_params,src_refs,block_idx,macro_op_id,macro_kind
0,GET_ROWS,f32,5120x1x1x1,,l0;l1,pre,0,embed_lookup
1,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,l2,0,2,rmsnorm
2,MUL,f32,5120x1x1x1,,n1;l3,0,2,rmsnorm
3,RESHAPE,f32,30720x1x1x1,,l4,0,3,conv_state_shift
4,VIEW,f32,0x1x1x1,offset=0,n3,0,3,conv_state_shift
5,SCALE,f32,0x1x1x1,scale=0 bias=0,n4,0,3,conv_state_shift
6,VIEW,i32,1x1x1x1,offset=0,l5,pre,1,rs_index_setup
7,GET_ROWS,f32,30720x1x1x1,,n3;l6,0,3,conv_state_shift
8,VIEW,i32,0x1x1x1,offset=4,l5,pre,1,rs_index_setup
9,GET_ROWS,f32,30720x0x1x1,,n3;l7,0,3,conv_state_shift
10,VIEW,f32,30720x0x1x1,offset=122880,l4,0,3,conv_state_shift
11,CPY,f32,30720x0x1x1,,n9;n10,0,3,conv_state_shift
12,RESHAPE,f32,3x10240x1x1,,n7,0,3,conv_state_shift
13,MUL_MAT,f32,10240x1x1x1,,l8;n2,0,4,qkv_mmvq
14,RESHAPE,f32,10240x1x1x1,,n13,0,4,qkv_mmvq
15,TRANSPOSE,f32,1x10240x1x1,,n14,0,4,qkv_mmvq
16,CONCAT,f32,4x10240x1x1,dim=0,n12;n15,0,5,conv_concat_store
17,VIEW,f32,3x10240x1x1,offset=4,n16,0,5,conv_concat_store
18,VIEW,f32,30720x1x1x1,offset=0,l4,0,5,conv_concat_store
19,CPY,f32,30720x1x1x1,,n17;n18,0,5,conv_concat_store
20,RESHAPE,f32,786432x1x1x1,,l9,0,6,ssm_state_fetch
21,VIEW,f32,0x1x1x1,offset=0,n20,0,6,ssm_state_fetch
22,SCALE,f32,0x1x1x1,scale=0 bias=0,n21,0,6,ssm_state_fetch
23,GET_ROWS,f32,786432x1x1x1,,n20;l6,0,6,ssm_state_fetch
24,GET_ROWS,f32,786432x0x1x1,,n20;l7,0,6,ssm_state_fetch
25,VIEW,f32,786432x0x1x1,offset=3145728,l9,0,6,ssm_state_fetch
26,CPY,f32,786432x0x1x1,,n24;n25,0,6,ssm_state_fetch
27,SSM_CONV,f32,10240x1x1x1,,n16;l10,0,7,ssm_conv_silu
28,UNARY,f32,10240x1x1x1,unary=silu(10),n27,0,7,ssm_conv_silu
29,VIEW,f32,128x16x1x1,offset=0,n28,0,8,qk_l2norm
30,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n29,0,8,qk_l2norm
31,VIEW,f32,128x16x1x1,offset=8192,n28,0,8,qk_l2norm
32,L2_NORM,f32,128x16x1x1,eps=9.999999975e-07,n31,0,8,qk_l2norm
33,VIEW,f32,128x48x1x1,offset=16384,n28,0,8,qk_l2norm
34,MUL_MAT,f32,48x1x1x1,,l11;n2,0,9,gdn_gates
35,RESHAPE,f32,48x1x1x1,,n34,0,9,gdn_gates
36,ADD,f32,48x1x1x1,,n35;l12,0,9,gdn_gates
37,UNARY,f32,48x1x1x1,unary=softplus(15),n36,0,9,gdn_gates
38,MUL,f32,48x1x1x1,,n37;l13,0,9,gdn_gates
39,RESHAPE,f32,1x48x1x1,,n38,0,9,gdn_gates
40,MUL_MAT,f32,48x1x1x1,,l14;n2,0,9,gdn_gates
41,RESHAPE,f32,1x48x1x1,,n40,0,9,gdn_gates
42,UNARY,f32,1x48x1x1,unary=sigmoid(7),n41,0,9,gdn_gates
43,RESHAPE,f32,128x128x48x1,,n23,0,6,ssm_state_fetch
44,RESHAPE,f32,786432x1x1x1,,n43,0,6,ssm_state_fetch
45,GATED_DELTA_NET,f32,6144x129x1x1,,n30;n32;n33;n39;n42;n44,0,10,deltanet_step
46,VIEW,f32,128x128x48x1,offset=24576,n45,0,11,ssm_state_store
47,VIEW,f32,786432x1x1x1,offset=0,l9,0,11,ssm_state_store
48,CPY,f32,786432x1x1x1,,n46;n47,0,11,ssm_state_store
49,VIEW,f32,128x48x1x1,offset=0,n45,0,12,gated_out_norm
50,RMS_NORM,f32,128x48x1x1,eps=9.999999975e-07,n49,0,12,gated_out_norm
51,MUL,f32,128x48x1x1,,n50;l15,0,12,gated_out_norm
52,MUL_MAT,f32,6144x1x1x1,,l16;n2,0,12,gated_out_norm
53,RESHAPE,f32,128x48x1x1,,n52,0,12,gated_out_norm
54,UNARY,f32,128x48x1x1,unary=silu(10),n53,0,12,gated_out_norm
55,MUL,f32,128x48x1x1,,n51;n54,0,12,gated_out_norm
56,RESHAPE,f32,6144x1x1x1,,n55,0,12,gated_out_norm
57,MUL_MAT,f32,5120x1x1x1,,l17;n56,0,13,out_proj_ar16
58,RESHAPE,f32,5120x1x1x1,,n57,0,13,out_proj_ar16
59,ADD,f32,5120x1x1x1,,n58;l2,0,14,residual_add
60,RMS_NORM,f32,5120x1x1x1,eps=9.999999975e-07,n59,0,15,rmsnorm
61,MUL,f32,5120x1x1x1,,n60;l18,0,15,rmsnorm
62,MUL_MAT,f32,17408x1x1x1,,l19;n61,0,16,ffn_fused
63,MUL_MAT,f32,17408x1x1x1,,l20;n61,0,16,ffn_fused
